"facet_id";"facet_name";"facet_unit";"parent_id";"rubric_id";"sort_index";"key";"important";"type";"date_insert";"date_update";"user_id"
"2292";"Ресурс рулона";"страниц";"0";"1595";"0";"0";"1";"number";"2016-07-04 17:10:57";\N;"0"
"10819";"Регулировка крутящего момента";"ступеней";"0";"4215";"11";"0";"1";"number";"2018-05-17 14:29:24";"2018-05-24 15:26:25";"95"
"5675";"Грузоподъемность";"т";"0";"3435";"2";"0";"1";"number";"2017-05-24 10:29:38";"2018-02-01 12:14:13";"95"
"6750";"Память";"товара";"0";"2932";"11";"0";"0";"number";"2017-10-20 12:28:34";"2017-11-08 15:08:21";"95"
"2479";"Память";"товаров";"0";"2933";"8";"0";"0";"number";"2016-07-04 17:10:57";"2017-11-08 14:59:26";"95"
"10164";"Рекомендовано хранить";"тыс. руб";"0";"1303";"17";"0";"0";"number";"2018-02-20 10:55:04";"2018-02-20 10:55:18";"95"
"10885";"Количество ударов в минуту";"уд/мин";"0";"4218";"4";"0";"1";"number";"2018-05-17 17:36:16";"2018-05-24 15:56:18";"95"
"3291";"Срок службы лампы";"ч";"0";"1489";"8";"0";"1";"number";"2016-11-02 14:53:21";"2017-09-29 15:31:04";"1800"
"4112";"Время зарядки";"час";"0";"2953";"20";"0";"1";"number";"2017-03-16 12:25:19";"2017-12-18 16:20:30";"95"
"638";"Макс. продолжительность записи";"часов";"0";"1253";"1";"0";"1";"string";"2016-07-04 17:10:57";\N;"0"
"525";"Количество карманов";"шт";"0";"844";"2";"0";"1";"number";"2016-07-04 17:10:57";"2017-12-22 15:13:25";"95"
"120";"Количество в комплекте";"шт.";"0";"1547";"4";"0";"1";"number";"2016-07-04 17:10:57";"2017-12-13 12:20:35";"95"
